DateTime,PM2_5(NJH CS Collo (CS1)/Canary-S),tempf(NJH CS Collo (CS1)/Canary-S),humidity(NJH CS Collo (CS1)/Canary-S),PM2.5(NJH/AirNow),PM2_5(I-25 Glo Collo (CS2)/Canary-S),tempf(I-25 Glo Collo (CS2)/Canary-S),humidity(I-25 Glo Collo (CS2)/Canary-S),PM2_5(I-25 Glo Collo (CS3)/Canary-S),tempf(I-25 Glo Collo (CS3)/Canary-S),humidity(I-25 Glo Collo (CS3)/Canary-S),PM2_5(I-25 Glo Collo (CS4)/Canary-S),tempf(I-25 Glo Collo (CS4)/Canary-S),humidity(I-25 Glo Collo (CS4)/Canary-S),PM2.5(I-25 Globeville/AirNow),PM2_5(La Casa Collo (CS5)/Canary-S),tempf(La Casa Collo (CS5)/Canary-S),humidity(La Casa Collo (CS5)/Canary-S),PM2.5(La Casa/AirNow),PM2_5(Swansea Elementary Collo (CS7)/Canary-S),tempf(Swansea Elementary Collo (CS7)/Canary-S),humidity(Swansea Elementary Collo (CS7)/Canary-S),PM2.5(I-25 Denver/AirNow)
8/20/2018 1:00,33.6167,60.038,65.085,22.1,38.0071,61.6481,76.7254,,,,38.0916,60.8093,80.8741,29.5,35.459,56.819,90.9783,21.4,1678.1202,-1,-1,25.4
8/20/2018 2:00,38.2333,58.517,67.115,27.1,44.4808,60.245,81.1917,,,,44.2518,59.201,87.1317,35.2,44.7162,56.357,90.3583,28,1679.1023,22.689,36.965,27.1
8/20/2018 3:00,43.35,57.383,71.1717,28.85,51.9937,58.8231,83.8966,,,,50.8953,57.677,90.3083,39.8,46.7903,54.047,93.9933,29.75,1681.992,54.581,91.9117,28.5
8/20/2018 4:00,48.7,56.546,74.7317,34.6,49.9956,57.9642,89.3667,,,,49.0276,57.0045,93.9,46,49.2235,52.55,96.28,34.6,1750.1284,53.5348,92.6586,26.95
8/20/2018 5:00,39.25,55.682,79.2033,31.5,51.0047,57.2549,92.1746,,,,50.358,56.4281,96.022,48,42.4698,51.875,98.4,32.1,1731.8947,52.406,93.3633,25.7
8/20/2018 6:00,31.6167,54.992,80.0233,26.4,61.6627,55.8149,93.2492,,,,60.4067,54.8316,97.4912,57.1,43.5333,51.302,99.085,31.7,1745.4202,51.416,93.6283,29.8
8/20/2018 7:00,30.9167,54.221,82.5783,23.6,65.8363,55.631,94.675,,,,65.5267,54.38,99.785,63,52.1138,51.113,99.6267,37.5,1735.4725,50.558,94.1933,32.8
8/20/2018 8:00,35.3,55.739,79.0033,23.2,67.9291,57.62,92.6298,,,,66.2556,56.8874,96.7386,67,63.8443,55.3566,96.6431,47.8,1681.5542,52.538,91.89,37.35
8/20/2018 9:00,41.7333,61.568,66.5383,26.9,53.5377,62.81,82.91,,,,52.1703,62.6,86.522,62,61.6107,62.654,82.3767,52.2,1686.802,25.4386,38.3763,46.5
8/20/2018 10:00,44.2667,70.703,49.705,32,59.312,67.2678,71.9695,,,,57.6855,65.963,76.2683,63.3,57.0928,70.514,60.9217,52.8,1690.034,-1,-1,50.55
8/20/2018 11:00,42.8333,74.261,43.7783,33.6,55.7205,70.946,63.0217,,,,55.1636,69.4736,65.5492,62.1,55.2042,73.9034,53.8949,50.7,1689.1439,-1,-1,47.05
8/20/2018 12:00,40.2333,79.895,36.535,33.5,50.2431,76.2159,53.7644,,,,49.5635,76.3116,52.3667,56.7,49.703,80.444,43.31,44.7,1685.964,-1,-1,39.1
8/20/2018 13:00,39.9,86.369,28.7433,33.4,44.398,82.1651,42.6508,,,,43.5874,83.4707,38.9052,50.3,43.1779,84.9045,36.1569,36.7,1682.6565,-1,-1,33
8/20/2018 14:00,45.4,88.931,26.495,38.1,48.3321,87.111,34.2828,,,,47.9833,86.5367,32.4,48.3,47.7048,86.3259,32.3879,34.8,1680.1888,-1,-1,30.25
8/20/2018 15:00,43.9833,91.652,22.6467,39,50.0861,92.24,26.9667,,,,49.9379,91.7407,25.4107,46.9,49.4703,87.4186,27.7932,33.4,1682.5895,-1,-1,29.2
8/20/2018 16:00,46.9667,97.331,18.7967,43.1,51.1348,92.549,25.155,,,,51.1008,91.8302,23.6847,46.6,49.5578,88.8373,25.2169,31.8,1681.3722,-1,-1,29.5
8/20/2018 17:00,47.5667,97.118,18.6633,46.7,54.4715,91.21,26.763,,,,54.2563,90.1369,25.439,47.6,55.5481,86.0031,28.6271,33.6,1685.3519,-1,-1,30.5
